Demt_6,Demt_5,Demt_4,Demt_3,Demt_2,Demt_1,Demt_0,Temp_6,Temp_5,Temp_4,Temp_3,Temp_2,Temp_1,Temp_0,Snmt_6,Snmt_5,Snmt_4,Snmt_3,Snmt_2,Snmt_1,Snmt_0,ETt_6,ETt_5,ETt_4,ETt_3,ETt_2,ETt_1,ETt_0,Rt_6,Rt_5,Rt_4,Rt_3,Rt_2,Rt_1,Rt_0,Wlt_6,Wlt_5,Wlt_4,Wlt_3,Wlt_2,Wlt_1,Wlt_0
195.4784728,55.9855637,0,0,0,0,0,22.96384615,17.98461538,11.32115385,1.121538462,-2.64,-5.678846154,-3.351538462,0,0,3.00E-04,6.236307692,3.405169231,3.273353846,32.15729231,111.113015,81.9503,50.76424615,18.96223846,9.104284615,1.159207692,1.599861538,109.3287385,57.72818462,84.84233846,60.79852308,44.80689231,16.79753846,10.27052308,158.9783333,154.9114286,153.4828571,153.0114286,152.6428571,152.44,152.0585714
55.9855637,0,0,0,0,0,0,17.98461538,11.32115385,1.121538462,-2.64,-5.678846154,-3.351538462,1.679269832,0,3.00E-04,6.236307692,3.405169231,3.273353846,32.15729231,32.37626154,81.9503,50.76424615,18.96223846,9.104284615,1.159207692,1.599861538,28.09483846,57.72818462,84.84233846,60.79852308,44.80689231,16.79753846,10.27052308,90.69815385,154.9114286,153.4828571,153.0114286,152.6428571,152.44,152.0585714,151.7071429
0,0,0,0,0,0,7.833528938,11.32115385,1.121538462,-2.64,-5.678846154,-3.351538462,1.679269832,5.710384615,3.00E-04,6.236307692,3.405169231,3.273353846,32.15729231,32.37626154,3.080615385,50.76424615,18.96223846,9.104284615,1.159207692,1.599861538,28.09483846,47.78307692,84.84233846,60.79852308,44.80689231,16.79753846,10.27052308,90.69815385,41.03064615,153.4828571,153.0114286,152.6428571,152.44,152.0585714,151.7071429,151.4742857
0,0,0,0,0,7.833528938,66.81822482,1.121538462,-2.64,-5.678846154,-3.351538462,1.679269832,5.710384615,13.81692308,6.236307692,3.405169231,3.273353846,32.15729231,32.37626154,3.080615385,0,18.96223846,9.104284615,1.159207692,1.599861538,28.09483846,47.78307692,90.90952308,60.79852308,44.80689231,16.79753846,10.27052308,90.69815385,41.03064615,94.29070769,153.0114286,152.6428571,152.44,152.0585714,151.7071429,151.4742857,151.3833333
0,0,0,0,7.833528938,66.81822482,134.4005219,-2.64,-5.678846154,-3.351538462,1.679269832,5.710384615,13.81692308,20.73692308,3.405169231,3.273353846,32.15729231,32.37626154,3.080615385,0,0,9.104284615,1.159207692,1.599861538,28.09483846,47.78307692,90.90952308,117.6488231,44.80689231,16.79753846,10.27052308,90.69815385,41.03064615,94.29070769,181.7693538,152.6428571,152.44,152.0585714,151.7071429,151.4742857,151.3833333,151.2328571
0,0,0,7.833528938,66.81822482,134.4005219,205.5873048,-5.678846154,-3.351538462,1.679269832,5.710384615,13.81692308,20.73692308,25.01692308,3.273353846,32.15729231,32.37626154,3.080615385,0,0,0,1.159207692,1.599861538,28.09483846,47.78307692,90.90952308,117.6488231,156.2265846,16.79753846,10.27052308,90.69815385,41.03064615,94.29070769,181.7693538,56.11667692,152.44,152.0585714,151.7071429,151.4742857,151.3833333,151.2328571,155.9742857
0,0,7.833528938,66.81822482,134.4005219,205.5873048,212.4113727,-3.351538462,1.679269832,5.710384615,13.81692308,20.73692308,25.01692308,27.15307692,32.15729231,32.37626154,3.080615385,0,0,0,0,1.599861538,28.09483846,47.78307692,90.90952308,117.6488231,156.2265846,110.5795846,10.27052308,90.69815385,41.03064615,94.29070769,181.7693538,56.11667692,37.60098462,152.0585714,151.7071429,151.4742857,151.3833333,151.2328571,155.9742857,161.9328571
0,7.833528938,66.81822482,134.4005219,205.5873048,212.4113727,60.02854394,1.679269832,5.710384615,13.81692308,20.73692308,25.01692308,27.15307692,20.10307692,32.37626154,3.080615385,0,0,0,0,0.010338462,28.09483846,47.78307692,90.90952308,117.6488231,156.2265846,110.5795846,64.38062308,90.69815385,41.03064615,94.29070769,181.7693538,56.11667692,37.60098462,51.23035385,151.7071429,151.4742857,151.3833333,151.2328571,155.9742857,161.9328571,157.7114286
7.833528938,66.81822482,134.4005219,205.5873048,212.4113727,60.02854394,0,5.710384615,13.81692308,20.73692308,25.01692308,27.15307692,20.10307692,12.16884615,3.080615385,0,0,0,0,0.010338462,0,47.78307692,90.90952308,117.6488231,156.2265846,110.5795846,64.38062308,43.61267692,41.03064615,94.29070769,181.7693538,56.11667692,37.60098462,51.23035385,41.21747692,151.4742857,151.3833333,151.2328571,155.9742857,161.9328571,157.7114286,154.2742857
66.81822482,134.4005219,205.5873048,212.4113727,60.02854394,0,0,13.81692308,20.73692308,25.01692308,27.15307692,20.10307692,12.16884615,3.151538462,0,0,0,0,0.010338462,0,1.952246154,90.90952308,117.6488231,156.2265846,110.5795846,64.38062308,43.61267692,21.9119,94.29070769,181.7693538,56.11667692,37.60098462,51.23035385,41.21747692,88.00984615,151.3833333,151.2328571,155.9742857,161.9328571,157.7114286,154.2742857,153.0985714
